x,y
97.000000,168.000000
91.000000,174.000000
91.000000,179.000000
90.000000,180.000000
90.000000,181.000000
87.000000,184.000000
87.000000,185.000000
88.000000,186.000000
89.000000,185.000000
90.000000,186.000000
91.000000,186.000000
92.000000,187.000000
94.000000,187.000000
95.000000,186.000000
95.000000,185.000000
96.000000,184.000000
96.000000,181.000000
98.000000,179.000000
99.000000,180.000000
100.000000,180.000000
101.000000,181.000000
102.000000,181.000000
104.000000,179.000000
104.000000,178.000000
101.000000,175.000000
101.000000,172.000000
100.000000,171.000000
100.000000,170.000000
98.000000,168.000000
