x,y
32.000000,85.000000
31.000000,86.000000
31.000000,88.000000
29.000000,90.000000
26.000000,90.000000
25.000000,91.000000
26.000000,92.000000
28.000000,92.000000
30.000000,94.000000
30.000000,96.000000
32.000000,98.000000
36.000000,98.000000
37.000000,97.000000
35.000000,95.000000
35.000000,94.000000
34.000000,93.000000
34.000000,92.000000
36.000000,90.000000
37.000000,91.000000
38.000000,91.000000
40.000000,93.000000
40.000000,96.000000
39.000000,97.000000
39.000000,98.000000
40.000000,99.000000
42.000000,99.000000
43.000000,98.000000
44.000000,98.000000
47.000000,95.000000
47.000000,93.000000
49.000000,91.000000
54.000000,91.000000
55.000000,90.000000
54.000000,89.000000
52.000000,89.000000
49.000000,86.000000
45.000000,86.000000
44.000000,85.000000
42.000000,85.000000
41.000000,86.000000
41.000000,87.000000
42.000000,88.000000
40.000000,90.000000
38.000000,88.000000
38.000000,87.000000
37.000000,86.000000
36.000000,86.000000
35.000000,85.000000
