x,y
79.000000,183.000000
78.000000,184.000000
78.000000,185.000000
79.000000,186.000000
79.000000,187.000000
80.000000,188.000000
79.000000,189.000000
83.000000,193.000000
83.000000,198.000000
84.000000,199.000000
84.000000,202.000000
87.000000,205.000000
88.000000,204.000000
88.000000,203.000000
87.000000,202.000000
87.000000,201.000000
85.000000,199.000000
85.000000,197.000000
86.000000,196.000000
86.000000,195.000000
85.000000,194.000000
85.000000,193.000000
80.000000,188.000000
83.000000,185.000000
82.000000,184.000000
81.000000,184.000000
80.000000,183.000000
