x,y
188.000000,171.000000
183.000000,176.000000
184.000000,177.000000
187.000000,174.000000
188.000000,174.000000
190.000000,176.000000
190.000000,178.000000
189.000000,179.000000
189.000000,181.000000
190.000000,182.000000
192.000000,182.000000
193.000000,181.000000
195.000000,181.000000
197.000000,183.000000
198.000000,183.000000
199.000000,182.000000
200.000000,182.000000
202.000000,180.000000
203.000000,180.000000
204.000000,179.000000
205.000000,180.000000
206.000000,180.000000
207.000000,181.000000
210.000000,181.000000
212.000000,183.000000
212.000000,184.000000
215.000000,187.000000
215.000000,188.000000
216.000000,189.000000
218.000000,189.000000
219.000000,188.000000
219.000000,186.000000
217.000000,184.000000
216.000000,184.000000
215.000000,183.000000
214.000000,183.000000
210.000000,179.000000
212.000000,177.000000
213.000000,177.000000
214.000000,178.000000
215.000000,177.000000
215.000000,176.000000
217.000000,174.000000
216.000000,173.000000
215.000000,173.000000
214.000000,174.000000
213.000000,174.000000
212.000000,175.000000
211.000000,175.000000
210.000000,174.000000
209.000000,174.000000
207.000000,176.000000
206.000000,176.000000
205.000000,177.000000
204.000000,177.000000
203.000000,178.000000
199.000000,178.000000
198.000000,179.000000
196.000000,179.000000
194.000000,177.000000
194.000000,175.000000
190.000000,171.000000
