x,y
161.000000,97.000000
159.000000,99.000000
159.000000,101.000000
158.000000,102.000000
159.000000,103.000000
159.000000,104.000000
158.000000,105.000000
158.000000,107.000000
159.000000,108.000000
159.000000,109.000000
160.000000,110.000000
160.000000,111.000000
161.000000,112.000000
162.000000,112.000000
163.000000,111.000000
163.000000,109.000000
164.000000,108.000000
164.000000,107.000000
166.000000,105.000000
166.000000,104.000000
167.000000,103.000000
167.000000,101.000000
163.000000,97.000000
