x,y
209.000000,115.000000
208.000000,116.000000
208.000000,119.000000
210.000000,121.000000
208.000000,123.000000
208.000000,124.000000
206.000000,126.000000
204.000000,126.000000
203.000000,127.000000
202.000000,127.000000
201.000000,128.000000
201.000000,129.000000
206.000000,134.000000
207.000000,133.000000
207.000000,132.000000
205.000000,130.000000
205.000000,129.000000
208.000000,126.000000
209.000000,126.000000
210.000000,125.000000
210.000000,124.000000
213.000000,121.000000
213.000000,119.000000
212.000000,118.000000
212.000000,117.000000
210.000000,115.000000
