x,y
196.000000,242.000000
193.000000,245.000000
189.000000,245.000000
188.000000,246.000000
187.000000,246.000000
185.000000,248.000000
186.000000,249.000000
187.000000,249.000000
188.000000,248.000000
191.000000,248.000000
194.000000,251.000000
192.000000,253.000000
191.000000,253.000000
189.000000,255.000000
227.000000,255.000000
227.000000,254.000000
225.000000,252.000000
222.000000,252.000000
220.000000,250.000000
220.000000,249.000000
219.000000,248.000000
219.000000,247.000000
218.000000,246.000000
216.000000,248.000000
215.000000,248.000000
214.000000,249.000000
211.000000,249.000000
210.000000,248.000000
209.000000,248.000000
208.000000,249.000000
208.000000,250.000000
207.000000,251.000000
207.000000,252.000000
205.000000,254.000000
204.000000,253.000000
197.000000,253.000000
195.000000,251.000000
197.000000,249.000000
197.000000,248.000000
198.000000,247.000000
198.000000,246.000000
199.000000,245.000000
199.000000,244.000000
197.000000,242.000000
