x,y
231.000000,104.000000
228.000000,107.000000
228.000000,109.000000
227.000000,110.000000
227.000000,112.000000
224.000000,115.000000
224.000000,117.000000
225.000000,118.000000
225.000000,119.000000
224.000000,120.000000
224.000000,122.000000
225.000000,123.000000
226.000000,123.000000
232.000000,117.000000
233.000000,117.000000
234.000000,116.000000
236.000000,116.000000
237.000000,115.000000
237.000000,114.000000
238.000000,113.000000
237.000000,112.000000
235.000000,114.000000
234.000000,114.000000
233.000000,113.000000
232.000000,113.000000
230.000000,111.000000
231.000000,110.000000
231.000000,109.000000
232.000000,108.000000
232.000000,105.000000
