x,y
187.000000,143.000000
186.000000,144.000000
186.000000,147.000000
183.000000,150.000000
182.000000,150.000000
181.000000,149.000000
180.000000,149.000000
179.000000,150.000000
183.000000,154.000000
183.000000,158.000000
184.000000,159.000000
185.000000,159.000000
186.000000,158.000000
188.000000,160.000000
189.000000,160.000000
190.000000,161.000000
192.000000,159.000000
192.000000,158.000000
191.000000,157.000000
191.000000,156.000000
190.000000,155.000000
190.000000,154.000000
189.000000,153.000000
189.000000,149.000000
188.000000,148.000000
188.000000,146.000000
189.000000,145.000000
189.000000,144.000000
188.000000,143.000000
