x,y
45.000000,86.000000
43.000000,88.000000
45.000000,90.000000
45.000000,91.000000
46.000000,92.000000
46.000000,93.000000
48.000000,95.000000
48.000000,96.000000
53.000000,101.000000
54.000000,101.000000
55.000000,102.000000
61.000000,102.000000
63.000000,104.000000
64.000000,104.000000
65.000000,105.000000
66.000000,105.000000
67.000000,106.000000
70.000000,106.000000
72.000000,104.000000
68.000000,100.000000
67.000000,100.000000
66.000000,99.000000
61.000000,99.000000
58.000000,96.000000
57.000000,96.000000
51.000000,90.000000
50.000000,90.000000
48.000000,88.000000
48.000000,87.000000
47.000000,86.000000
