x,y
155.000000,153.000000
154.000000,154.000000
154.000000,156.000000
152.000000,158.000000
148.000000,158.000000
147.000000,157.000000
146.000000,157.000000
145.000000,158.000000
145.000000,159.000000
146.000000,160.000000
147.000000,160.000000
149.000000,162.000000
149.000000,166.000000
148.000000,167.000000
149.000000,168.000000
152.000000,168.000000
153.000000,169.000000
154.000000,169.000000
158.000000,173.000000
159.000000,173.000000
161.000000,175.000000
161.000000,179.000000
162.000000,180.000000
164.000000,180.000000
165.000000,179.000000
165.000000,170.000000
164.000000,169.000000
163.000000,169.000000
160.000000,166.000000
157.000000,166.000000
155.000000,164.000000
155.000000,162.000000
156.000000,161.000000
156.000000,154.000000
