x,y
161.000000,240.000000
160.000000,241.000000
159.000000,241.000000
158.000000,242.000000
157.000000,242.000000
156.000000,243.000000
155.000000,243.000000
153.000000,245.000000
153.000000,249.000000
152.000000,250.000000
154.000000,252.000000
156.000000,252.000000
157.000000,251.000000
157.000000,249.000000
156.000000,248.000000
159.000000,245.000000
160.000000,245.000000
161.000000,246.000000
162.000000,246.000000
163.000000,247.000000
164.000000,246.000000
165.000000,246.000000
166.000000,245.000000
165.000000,244.000000
164.000000,244.000000
162.000000,242.000000
162.000000,241.000000
