x,y
242.000000,155.000000
240.000000,157.000000
240.000000,160.000000
238.000000,162.000000
236.000000,160.000000
236.000000,158.000000
235.000000,157.000000
234.000000,157.000000
233.000000,158.000000
233.000000,160.000000
235.000000,162.000000
235.000000,165.000000
234.000000,166.000000
234.000000,170.000000
233.000000,171.000000
233.000000,177.000000
234.000000,178.000000
234.000000,179.000000
232.000000,181.000000
227.000000,181.000000
224.000000,184.000000
224.000000,190.000000
223.000000,191.000000
223.000000,192.000000
220.000000,195.000000
220.000000,196.000000
217.000000,199.000000
220.000000,202.000000
220.000000,204.000000
219.000000,205.000000
219.000000,206.000000
223.000000,210.000000
223.000000,211.000000
224.000000,212.000000
225.000000,212.000000
227.000000,210.000000
228.000000,210.000000
230.000000,208.000000
231.000000,208.000000
232.000000,207.000000
233.000000,207.000000
234.000000,206.000000
234.000000,204.000000
233.000000,203.000000
237.000000,199.000000
236.000000,198.000000
236.000000,197.000000
238.000000,195.000000
238.000000,194.000000
242.000000,190.000000
244.000000,190.000000
248.000000,186.000000
250.000000,186.000000
251.000000,185.000000
251.000000,182.000000
254.000000,179.000000
255.000000,179.000000
255.000000,177.000000
253.000000,177.000000
249.000000,173.000000
249.000000,172.000000
253.000000,168.000000
254.000000,169.000000
255.000000,168.000000
253.000000,166.000000
253.000000,163.000000
252.000000,162.000000
252.000000,159.000000
251.000000,158.000000
250.000000,158.000000
247.000000,155.000000
