x,y
15.000000,162.000000
14.000000,163.000000
14.000000,164.000000
13.000000,165.000000
13.000000,166.000000
10.000000,169.000000
10.000000,172.000000
7.000000,175.000000
8.000000,176.000000
9.000000,176.000000
11.000000,178.000000
11.000000,180.000000
12.000000,181.000000
14.000000,181.000000
15.000000,180.000000
16.000000,180.000000
19.000000,177.000000
18.000000,176.000000
17.000000,176.000000
16.000000,175.000000
15.000000,175.000000
13.000000,173.000000
14.000000,172.000000
14.000000,170.000000
13.000000,169.000000
13.000000,168.000000
15.000000,166.000000
16.000000,166.000000
17.000000,165.000000
17.000000,164.000000
