x,y
29.000000,126.000000
26.000000,129.000000
28.000000,131.000000
28.000000,134.000000
26.000000,136.000000
26.000000,137.000000
30.000000,141.000000
28.000000,143.000000
26.000000,143.000000
25.000000,142.000000
24.000000,142.000000
23.000000,143.000000
23.000000,144.000000
24.000000,145.000000
26.000000,145.000000
28.000000,147.000000
28.000000,148.000000
29.000000,149.000000
31.000000,149.000000
32.000000,148.000000
34.000000,148.000000
35.000000,147.000000
34.000000,146.000000
34.000000,145.000000
33.000000,144.000000
33.000000,139.000000
34.000000,138.000000
34.000000,133.000000
32.000000,131.000000
32.000000,129.000000
31.000000,128.000000
31.000000,127.000000
30.000000,126.000000
