x,y
155.000000,104.000000
154.000000,105.000000
154.000000,106.000000
151.000000,109.000000
151.000000,111.000000
150.000000,112.000000
150.000000,113.000000
148.000000,115.000000
145.000000,115.000000
144.000000,116.000000
144.000000,117.000000
145.000000,118.000000
146.000000,118.000000
147.000000,117.000000
149.000000,117.000000
150.000000,116.000000
152.000000,116.000000
153.000000,115.000000
159.000000,115.000000
160.000000,114.000000
160.000000,113.000000
156.000000,109.000000
156.000000,105.000000
