x,y
17.000000,159.000000
16.000000,160.000000
16.000000,167.000000
14.000000,169.000000
13.000000,169.000000
12.000000,170.000000
12.000000,171.000000
15.000000,174.000000
15.000000,175.000000
16.000000,176.000000
14.000000,178.000000
13.000000,178.000000
8.000000,173.000000
8.000000,171.000000
7.000000,170.000000
7.000000,169.000000
6.000000,168.000000
5.000000,168.000000
4.000000,167.000000
3.000000,167.000000
1.000000,165.000000
0.000000,165.000000
0.000000,200.000000
4.000000,200.000000
5.000000,199.000000
5.000000,196.000000
7.000000,194.000000
7.000000,191.000000
13.000000,185.000000
14.000000,185.000000
15.000000,184.000000
17.000000,186.000000
18.000000,185.000000
17.000000,184.000000
17.000000,183.000000
16.000000,182.000000
16.000000,180.000000
18.000000,178.000000
18.000000,172.000000
19.000000,171.000000
19.000000,170.000000
22.000000,167.000000
22.000000,166.000000
21.000000,165.000000
20.000000,165.000000
18.000000,163.000000
18.000000,160.000000
