x,y
231.000000,93.000000
226.000000,98.000000
225.000000,98.000000
224.000000,97.000000
223.000000,97.000000
222.000000,96.000000
221.000000,97.000000
221.000000,99.000000
222.000000,100.000000
218.000000,104.000000
219.000000,105.000000
221.000000,105.000000
222.000000,106.000000
223.000000,106.000000
226.000000,103.000000
228.000000,105.000000
228.000000,107.000000
229.000000,108.000000
229.000000,109.000000
230.000000,110.000000
231.000000,110.000000
232.000000,109.000000
232.000000,107.000000
234.000000,105.000000
234.000000,103.000000
233.000000,102.000000
233.000000,101.000000
234.000000,100.000000
234.000000,99.000000
235.000000,98.000000
235.000000,96.000000
232.000000,93.000000
