x,y
127.000000,193.000000
125.000000,195.000000
125.000000,196.000000
124.000000,197.000000
124.000000,199.000000
123.000000,200.000000
123.000000,201.000000
122.000000,202.000000
122.000000,204.000000
126.000000,208.000000
126.000000,209.000000
128.000000,211.000000
129.000000,211.000000
130.000000,210.000000
129.000000,209.000000
129.000000,206.000000
130.000000,205.000000
130.000000,203.000000
129.000000,202.000000
128.000000,203.000000
126.000000,201.000000
126.000000,198.000000
127.000000,197.000000
127.000000,196.000000
128.000000,195.000000
128.000000,194.000000
