x,y
82.000000,187.000000
81.000000,188.000000
80.000000,188.000000
79.000000,189.000000
77.000000,189.000000
76.000000,190.000000
74.000000,190.000000
73.000000,191.000000
72.000000,191.000000
62.000000,201.000000
62.000000,203.000000
61.000000,204.000000
61.000000,205.000000
60.000000,206.000000
60.000000,208.000000
59.000000,209.000000
59.000000,212.000000
60.000000,213.000000
60.000000,223.000000
61.000000,224.000000
61.000000,226.000000
62.000000,227.000000
62.000000,230.000000
67.000000,235.000000
68.000000,235.000000
69.000000,236.000000
71.000000,236.000000
73.000000,234.000000
73.000000,233.000000
77.000000,229.000000
78.000000,229.000000
79.000000,228.000000
79.000000,225.000000
78.000000,224.000000
78.000000,220.000000
77.000000,219.000000
77.000000,216.000000
74.000000,213.000000
74.000000,212.000000
72.000000,210.000000
72.000000,207.000000
73.000000,206.000000
73.000000,205.000000
79.000000,199.000000
81.000000,199.000000
90.000000,190.000000
89.000000,189.000000
87.000000,189.000000
85.000000,187.000000
