x,y
194.000000,97.000000
193.000000,98.000000
193.000000,100.000000
192.000000,101.000000
192.000000,102.000000
188.000000,106.000000
188.000000,110.000000
189.000000,111.000000
190.000000,111.000000
193.000000,108.000000
194.000000,108.000000
195.000000,109.000000
197.000000,109.000000
199.000000,107.000000
202.000000,107.000000
203.000000,106.000000
204.000000,106.000000
206.000000,104.000000
207.000000,104.000000
209.000000,102.000000
211.000000,104.000000
211.000000,105.000000
212.000000,106.000000
213.000000,105.000000
214.000000,105.000000
215.000000,104.000000
215.000000,103.000000
216.000000,102.000000
216.000000,100.000000
215.000000,99.000000
214.000000,99.000000
213.000000,100.000000
212.000000,100.000000
211.000000,101.000000
210.000000,101.000000
208.000000,103.000000
207.000000,102.000000
206.000000,102.000000
205.000000,103.000000
204.000000,103.000000
203.000000,102.000000
202.000000,102.000000
200.000000,100.000000
199.000000,100.000000
198.000000,99.000000
197.000000,99.000000
195.000000,97.000000
