x,y
108.000000,151.000000
107.000000,152.000000
110.000000,155.000000
110.000000,157.000000
111.000000,158.000000
111.000000,160.000000
109.000000,162.000000
107.000000,162.000000
106.000000,161.000000
96.000000,161.000000
95.000000,160.000000
92.000000,160.000000
91.000000,159.000000
85.000000,159.000000
84.000000,158.000000
78.000000,158.000000
77.000000,157.000000
70.000000,157.000000
69.000000,156.000000
63.000000,156.000000
62.000000,155.000000
58.000000,155.000000
57.000000,154.000000
55.000000,154.000000
54.000000,155.000000
54.000000,157.000000
55.000000,158.000000
57.000000,158.000000
58.000000,159.000000
63.000000,159.000000
64.000000,160.000000
72.000000,160.000000
73.000000,161.000000
78.000000,161.000000
79.000000,162.000000
84.000000,162.000000
85.000000,163.000000
91.000000,163.000000
92.000000,164.000000
100.000000,164.000000
101.000000,165.000000
109.000000,165.000000
110.000000,166.000000
112.000000,166.000000
113.000000,167.000000
119.000000,167.000000
120.000000,168.000000
126.000000,168.000000
127.000000,169.000000
134.000000,169.000000
135.000000,170.000000
139.000000,170.000000
140.000000,171.000000
143.000000,171.000000
144.000000,172.000000
145.000000,172.000000
148.000000,175.000000
146.000000,177.000000
143.000000,177.000000
142.000000,178.000000
141.000000,178.000000
140.000000,179.000000
142.000000,181.000000
146.000000,181.000000
147.000000,180.000000
153.000000,180.000000
154.000000,181.000000
156.000000,181.000000
157.000000,182.000000
158.000000,181.000000
159.000000,181.000000
160.000000,180.000000
161.000000,181.000000
162.000000,181.000000
163.000000,182.000000
164.000000,182.000000
166.000000,184.000000
167.000000,183.000000
168.000000,183.000000
169.000000,182.000000
168.000000,181.000000
168.000000,178.000000
170.000000,176.000000
170.000000,175.000000
171.000000,174.000000
170.000000,173.000000
170.000000,168.000000
171.000000,167.000000
171.000000,163.000000
172.000000,162.000000
172.000000,161.000000
171.000000,160.000000
169.000000,160.000000
168.000000,161.000000
167.000000,161.000000
164.000000,164.000000
162.000000,164.000000
158.000000,168.000000
151.000000,168.000000
150.000000,167.000000
142.000000,167.000000
141.000000,166.000000
135.000000,166.000000
134.000000,165.000000
128.000000,165.000000
127.000000,164.000000
121.000000,164.000000
120.000000,163.000000
117.000000,163.000000
115.000000,161.000000
116.000000,160.000000
116.000000,159.000000
115.000000,158.000000
115.000000,157.000000
113.000000,155.000000
112.000000,155.000000
110.000000,153.000000
110.000000,152.000000
109.000000,151.000000
