x,y
236.000000,198.000000
235.000000,199.000000
235.000000,201.000000
236.000000,202.000000
236.000000,205.000000
233.000000,208.000000
234.000000,209.000000
236.000000,209.000000
238.000000,211.000000
238.000000,214.000000
239.000000,215.000000
241.000000,213.000000
242.000000,213.000000
243.000000,212.000000
244.000000,212.000000
245.000000,211.000000
245.000000,210.000000
247.000000,208.000000
247.000000,206.000000
245.000000,204.000000
244.000000,204.000000
242.000000,206.000000
240.000000,204.000000
240.000000,202.000000
241.000000,201.000000
239.000000,199.000000
237.000000,199.000000
